cfips,pop_2010,pop_2015,pop_2020,pop_5yr_pct_chg,pop_10yr_pct_chg
01091,20955.0,19772.0,18733.0,-5.254905927574348,-10.603674540682414
01093,30822.0,30137.0,29703.0,-1.4400902545044298,-3.630523651936928
01095,93119.0,94588.0,96990.0,2.5394341776969593,4.157046360033935
01097,413328.0,414654.0,412716.0,-0.46737762085980117,-0.14806642666356984
01099,23004.0,21720.0,20459.0,-5.805709023941068,-11.063293340288645
01101,229498.0,227420.0,224639.0,-1.2228475947585964,-2.117229779780216
01103,119642.0,119316.0,119883.0,0.47520868953032286,0.20143427893214758
01105,10564.0,9650.0,8687.0,-9.979274611398964,-17.767890950397575
01107,19749.0,20788.0,19793.0,-4.786415239561285,0.22279609094131347
01109,32972.0,33518.0,32966.0,-1.6468763052688107,-0.018197258279752517
01111,22937.0,22603.0,22920.0,1.4024686988452861,-0.07411605702576624
01113,53327.0,58946.0,58237.0,-1.202795779187731,9.207343372025427
01115,83587.0,86569.0,90739.0,4.816966812600353,8.556354457032793
01117,196036.0,209047.0,221428.0,5.922591570316723,12.952722969250546
01119,13730.0,13212.0,12225.0,-7.4704813805631245,-10.961398397669337
01121,82175.0,81168.0,79985.0,-1.457470924502267,-2.665044113173106
01123,41480.0,40628.0,40133.0,-1.2183715664074037,-3.2473481195756992
01125,195008.0,204953.0,210758.0,2.832356686654989,8.076591729570069
01127,66995.0,64950.0,63143.0,-2.7821401077752115,-5.74968281215016
01129,17627.0,16831.0,15976.0,-5.07991206701919,-9.366313042491631
01131,11560.0,10900.0,10206.0,-6.36697247706422,-11.71280276816609
01133,24412.0,23929.0,23508.0,-1.7593714739437503,-3.7030968376208424
02013,3167.0,3373.0,3401.0,0.8301215535131931,7.388695926744553
02016,5561.0,5782.0,5680.0,-1.764095468695953,2.1399028951627406
02020,293760.0,298337.0,287095.0,-3.768221843083493,-2.2688589324618738
02050,17081.0,17970.0,18437.0,2.598775737340011,7.938645278379486
02060,1002.0,906.0,788.0,-13.024282560706402,-21.357285429141715
02068,1839.0,1940.0,2081.0,7.268041237113402,13.159325720500272
02070,4850.0,4987.0,4833.0,-3.0880288750751954,-0.35051546391752575
